,modis,gldas,gridmet
2001-01-01,1773669.6060562134,459358.68713378906,1174011.2718200684
2001-02-01,1534296.8782424927,657209.6136474609,1345984.4771575928
2001-03-01,2761054.5375823975,1421960.7458496094,2199431.935272217
2001-04-01,2159399.9308776855,1913152.939453125,2520900.631713867
2001-05-01,2787219.663848877,2552807.801513672,2110089.719696045
2001-06-01,1383062.6029586792,1681024.3725585938,1458883.041229248
2001-07-01,2458547.5870513916,1105618.7713623047,701018.3743286133
2001-08-01,1553100.333480835,544156.3037109375,301999.6039581299
2001-09-01,1584284.6159362793,357465.5570983887,621955.5798339844
2001-10-01,987384.2290878296,300407.40829467773,924596.5872573853
2001-11-01,1144682.6546859741,402974.44244384766,1836866.7615509033
2001-12-01,1001305.8548355103,325963.11950683594,1016605.1136016846
2002-01-01,1215105.4948425293,456021.8975830078,855810.4349899292
2002-02-01,1835500.3373336792,769757.7172851562,1050570.684928894
2002-03-01,2238477.1627807617,1418668.500366211,1793703.2553863525
2002-04-01,2234758.219985962,1812164.3481445312,2102636.247253418
2002-05-01,2879667.809829712,2112146.1364746094,2321071.312637329
2002-06-01,2840180.4718780518,1889785.5139160156,1546975.503616333
2002-07-01,1999170.6983184814,1159522.5091552734,737014.5569229126
2002-08-01,1507960.5911636353,528015.849609375,360897.3126411438
2002-09-01,1434288.6223983765,247922.73056030273,278033.19162368774
2002-10-01,950221.6694068909,122118.47122192383,187549.470205307
2002-11-01,1134389.8254776,552259.4018554688,1807799.6523284912
2002-12-01,950189.4157791138,467238.8314819336,1178571.9568634033
2003-01-01,1267536.547279358,618516.4608764648,980731.1274719238
2003-02-01,1840547.3569107056,839229.7467041016,1240802.937927246
2003-03-01,2682206.768875122,1617410.7751464844,2172764.147415161
2003-04-01,2062347.3014831543,1738902.1508789062,2586111.860961914
2003-05-01,3154674.532928467,2675280.8276367188,2826767.6696777344
2003-06-01,3002986.7166137695,2334823.516845703,1867991.5393066406
2003-07-01,1736077.6809310913,1516989.8638916016,1085704.910774231
2003-08-01,2145041.856765747,964045.5853271484,1249226.376800537
2003-09-01,1587987.636795044,470352.71392822266,367056.60678863525
2003-10-01,914336.3182640076,214387.02438354492,252815.1064968109
2003-11-01,1235446.3534927368,278963.01177978516,1248328.9530944824
2003-12-01,886292.0523262024,423914.49645996094,1084957.5452041626
2004-01-01,1357094.861869812,474151.0528564453,875652.1864700317
2004-02-01,1672932.4533462524,683029.951171875,1339376.0689544678
2004-03-01,2813093.9806365967,1913729.1174316406,2209595.9607696533
2004-04-01,2657582.7923583984,2094175.3601074219,1984021.1409759521
2004-05-01,2170567.2958374023,1913387.8930664062,1860600.2254486084
