dt	s	region
1973-10-31T00:00:00Z	4575.555111214789	Entire CV
1973-11-30T00:00:00Z	4578.07579025428	Entire CV
1973-12-31T00:00:00Z	4581.2971084142355	Entire CV
1974-01-31T00:00:00Z	4585.170010973622	Entire CV
1974-02-28T00:00:00Z	4588.18023225524	Entire CV
1974-03-31T00:00:00Z	4591.566945367989	Entire CV
1974-04-30T00:00:00Z	4594.298649639133	Entire CV
1974-05-31T00:00:00Z	4595.726068455915	Entire CV
1974-06-30T00:00:00Z	4596.597452005201	Entire CV
1974-07-31T00:00:00Z	4596.7324802268095	Entire CV
1974-08-31T00:00:00Z	4596.412900232717	Entire CV
1974-09-30T00:00:00Z	4595.855231387124	Entire CV
1974-10-31T00:00:00Z	4596.689193559919	Entire CV
1974-11-30T00:00:00Z	4597.1818434622155	Entire CV
1974-12-31T00:00:00Z	4597.895907688535	Entire CV
1975-01-31T00:00:00Z	4598.38132227266	Entire CV
1975-02-28T00:00:00Z	4599.4196459627055	Entire CV
1975-03-31T00:00:00Z	4600.587241225107	Entire CV
1975-04-30T00:00:00Z	4600.822850269319	Entire CV
1975-05-31T00:00:00Z	4599.756268137356	Entire CV
1975-06-30T00:00:00Z	4598.798734983267	Entire CV
1975-07-31T00:00:00Z	4597.387302581734	Entire CV
1975-08-31T00:00:00Z	4596.128181684519	Entire CV
1975-09-30T00:00:00Z	4594.947774176687	Entire CV
1975-10-31T00:00:00Z	4595.360083342136	Entire CV
1975-11-30T00:00:00Z	4595.5791665965	Entire CV
1975-12-31T00:00:00Z	4595.97222055068	Entire CV
1976-01-31T00:00:00Z	4596.331772425376	Entire CV
1976-02-29T00:00:00Z	4596.875015594505	Entire CV
1976-03-31T00:00:00Z	4596.9762558864195	Entire CV
1976-04-30T00:00:00Z	4596.9203649841	Entire CV
1976-05-31T00:00:00Z	4594.9902502720115	Entire CV
1976-06-30T00:00:00Z	4593.429871277858	Entire CV
1976-07-31T00:00:00Z	4591.473352748244	Entire CV
1976-08-31T00:00:00Z	4589.753930401226	Entire CV
1976-09-30T00:00:00Z	4588.8345660351415	Entire CV
1976-10-31T00:00:00Z	4588.5814694865285	Entire CV
1976-11-30T00:00:00Z	4588.80137562103	Entire CV
1976-12-31T00:00:00Z	4589.072385217083	Entire CV
1977-01-31T00:00:00Z	4589.535302433713	Entire CV
1977-02-28T00:00:00Z	4589.486582417818	Entire CV
1977-03-31T00:00:00Z	4589.358531685305	Entire CV
1977-04-30T00:00:00Z	4588.564408594984	Entire CV
1977-05-31T00:00:00Z	4586.426237449124	Entire CV
1977-06-30T00:00:00Z	4584.225499382497	Entire CV
1977-07-31T00:00:00Z	4581.777709988258	Entire CV
1977-08-31T00:00:00Z	4579.4498873747425	Entire CV
1977-09-30T00:00:00Z	4577.533297372413	Entire CV
1977-10-31T00:00:00Z	4577.198634289512	Entire CV
1977-11-30T00:00:00Z	4577.380720956634	Entire CV
1977-12-31T00:00:00Z	4578.254643569222	Entire CV
1978-01-31T00:00:00Z	4580.0183195670215	Entire CV
1978-02-28T00:00:00Z	4582.207813498441	Entire CV
1978-03-31T00:00:00Z	4584.692724892993	Entire CV
1978-04-30T00:00:00Z	4586.7464061572355	Entire CV
1978-05-31T00:00:00Z	4587.051438991302	Entire CV
1978-06-30T00:00:00Z	4586.724089526664	Entire CV
1978-07-31T00:00:00Z	4585.8657773166715	Entire CV
1978-08-31T00:00:00Z	4585.187763819009	Entire CV
1978-09-30T00:00:00Z	4584.651595079891	Entire CV
1978-10-31T00:00:00Z	4584.992716171595	Entire CV
1978-11-30T00:00:00Z	4585.643111046903	Entire CV
1978-12-31T00:00:00Z	4586.194854370924	Entire CV
1979-01-31T00:00:00Z	4587.29841469429	Entire CV
1979-02-28T00:00:00Z	4588.4877937708625	Entire CV
1979-03-31T00:00:00Z	4589.690860823704	Entire CV
1979-04-30T00:00:00Z	4589.973853212179	Entire CV
1979-05-31T00:00:00Z	4589.1914346231115	Entire CV
1979-06-30T00:00:00Z	4588.372052973639	Entire CV
1979-07-31T00:00:00Z	4587.298560710698	Entire CV
1979-08-31T00:00:00Z	4586.159736889117	Entire CV
1979-09-30T00:00:00Z	4585.018215281236	Entire CV
1979-10-31T00:00:00Z	4585.491621276102	Entire CV
1979-11-30T00:00:00Z	4586.01821098092	Entire CV
1979-12-31T00:00:00Z	4586.674669736424	Entire CV
1980-01-31T00:00:00Z	4588.686786555684	Entire CV
1980-02-29T00:00:00Z	4590.92697503683	Entire CV
1980-03-31T00:00:00Z	4592.742503557536	Entire CV
1980-04-30T00:00:00Z	4593.733394873131	Entire CV
1980-05-31T00:00:00Z	4593.292422197454	Entire CV
1980-06-30T00:00:00Z	4592.568480171552	Entire CV
1980-07-31T00:00:00Z	4591.689773661953	Entire CV
1980-08-31T00:00:00Z	4590.756558441031	Entire CV
1980-09-30T00:00:00Z	4589.777200162368	Entire CV
1980-10-31T00:00:00Z	4590.165181297579	Entire CV
1980-11-30T00:00:00Z	4590.410934995545	Entire CV
1980-12-31T00:00:00Z	4590.85554678467	Entire CV
1981-01-31T00:00:00Z	4591.815275073531	Entire CV
1981-02-28T00:00:00Z	4592.442659042407	Entire CV
1981-03-31T00:00:00Z	4593.380495104421	Entire CV
1981-04-30T00:00:00Z	4593.441157730833	Entire CV
1981-05-31T00:00:00Z	4592.026475415673	Entire CV
1981-06-30T00:00:00Z	4590.932302309998	Entire CV
1981-07-31T00:00:00Z	4589.60890336192	Entire CV
1981-08-31T00:00:00Z	4588.1936530801	Entire CV
1981-09-30T00:00:00Z	4586.8368215034625	Entire CV
1981-10-31T00:00:00Z	4587.258521370306	Entire CV
1981-11-30T00:00:00Z	4588.215104328808	Entire CV
1981-12-31T00:00:00Z	4589.184948052803	Entire CV
1982-01-31T00:00:00Z	4590.53433058059	Entire CV
1982-02-28T00:00:00Z	4591.783980607908	Entire CV
1982-03-31T00:00:00Z	4593.534902500024	Entire CV
1982-04-30T00:00:00Z	4595.2981916973295	Entire CV
1982-05-31T00:00:00Z	4595.201287227472	Entire CV
1982-06-30T00:00:00Z	4594.737044879797	Entire CV
1982-07-31T00:00:00Z	4593.822758947553	Entire CV
1982-08-31T00:00:00Z	4593.039551768782	Entire CV
1982-09-30T00:00:00Z	4592.524600829075	Entire CV
1982-10-31T00:00:00Z	4593.279526426334	Entire CV
1982-11-30T00:00:00Z	4594.557278429184	Entire CV
1982-12-31T00:00:00Z	4596.126203571237	Entire CV
1983-01-31T00:00:00Z	4598.04278449198	Entire CV
1983-02-28T00:00:00Z	4600.282838726717	Entire CV
1983-03-31T00:00:00Z	4603.0356527266385	Entire CV
1983-04-30T00:00:00Z	4604.7187634242855	Entire CV
1983-05-31T00:00:00Z	4604.940019139557	Entire CV
1983-06-30T00:00:00Z	4604.694293310407	Entire CV
1983-07-31T00:00:00Z	4603.892732583076	Entire CV
1983-08-31T00:00:00Z	4603.087378380202	Entire CV
1983-09-30T00:00:00Z	4602.611854285493	Entire CV
1983-10-31T00:00:00Z	4603.173278697967	Entire CV
1983-11-30T00:00:00Z	4604.222944262636	Entire CV
1983-12-31T00:00:00Z	4605.767615949344	Entire CV
1984-01-31T00:00:00Z	4606.760557891117	Entire CV
