Basin_Subbasin_Number,Basin_Subbasin_Name,Total_Priority_Points,Priority,Priority_Change_2014_to_2018
1-001,Smith River Plain,0,Very Low,M/H to L/VL
1-002.01,Klamath River Valley - Tulelake,16.5,Medium,No Change
1-002.02,Klamath River Valley - Lower Klamath,0,Very Low,No Change
1-003,Butte Valley,15.5,Medium,No Change
1-004,Shasta Valley - Shasta Valley,Pending,Pending,Pending
1-005,Scott River Valley,18,Medium,No Change
1-006,Hayfork Valley,0,Very Low,No Change
1-007,Hoopa Valley,0,Very Low,No Change
1-008.01,Mad River Valley - Mad River Lowland,0,Very Low,No Change
1-008.02,Mad River Valley - Dows Prairie School Area,0,Very Low,No Change
1-009,Eureka Plain,0,Very Low,No Change
1-010,Eel River Valley,14.5,Medium,No Change
1-011,Covelo Round Valley,0,Very Low,No Change
1-012,Laytonville Valley,0,Very Low,No Change
1-013,Little Lake Valley,0,Very Low,No Change
1-014,Lower Klamath River Valley,0,Very Low,No Change
1-015,Happy Camp Town Area,0,Very Low,No Change
1-016,Seiad Valley,0,Very Low,No Change
1-017,Bray Town Area,0,Very Low,No Change
1-018,Red Rock Valley,11,Low,No Change
1-019,Anderson Valley,0,Very Low,No Change
1-020,Garcia River Valley,0,Very Low,No Change
1-021,Fort Bragg Terrace Area,0,Very Low,No Change
1-022,Fairchild Swamp Valley,0,Very Low,No Change
1-025,Prairie Creek Area,0,Very Low,No Change
1-026,Redwood Creek Area,0,Very Low,No Change
1-027,Big Lagoon Area,0,Very Low,No Change
1-028,Mattole River Valley,0,Very Low,No Change
1-029,Honeydew Town Area,0,Very Low,No Change
1-030,Pepperwood Town Area,0,Very Low,No Change
1-031,Weott Town Area,0,Very Low,No Change
1-032,Garberville Town Area,0,Very Low,No Change
1-033,Larabee Valley,0,Very Low,No Change
1-034,Dinsmores Town Area,0,Very Low,No Change
1-035,Hyampom Valley,0,Very Low,No Change
1-036,Hettenshaw Valley,0,Very Low,No Change
1-037,Cottoneva Creek Valley,0,Very Low,No Change
1-038,Lower Laytonville Valley,0,Very Low,No Change
1-039,Branscomb Town Area,0,Very Low,No Change
1-040,Ten Mile River Valley,0,Very Low,No Change
1-041,Little Valley,0,Very Low,No Change
1-042,Sherwood Valley,0,Very Low,No Change
1-043,Williams Valley,0,Very Low,No Change
1-044,Eden Valley,0,Very Low,No Change
1-045,Big River Valley,0,Very Low,No Change
1-046,Navarro River Valley,0,Very Low,No Change
1-048,Gravelly Valley,0,Very Low,No Change
1-049,Annapolis Ohlson Ranch Fm Highlands,0,Very Low,No Change
1-050,Knights Valley,0,Very Low,No Change
1-051,Potter Valley,0,Very Low,No Change
1-052,Ukiah Valley,19.5,Medium,No Change
1-053,Sanel Valley,0,Very Low,No Change
1-054.01,Alexander Valley - Alexander Area,0,Very Low,No Change
1-054.02,Alexander Valley - Cloverdale Area,0,Very Low,No Change
1-055.01,Santa Rosa Valley - Santa Rosa Plain,Pending,Pending,Pending
1-055.02,Santa Rosa Valley - Healdsburg Area,0,Very Low,No Change
1-055.03,Santa Rosa Valley - Rincon Valley,0,Very Low,No Change
1-056,Mcdowell Valley,0,Very Low,No Change
1-057,Bodega Bay Area,0,Very Low,No Change
1-059,Wilson Grove Formation Highlands,Pending,Pending,Pending
1-060,Lower Russian River Valley,0,Very Low,No Change
1-061,Fort Ross Terrace Deposits,0,Very Low,No Change
1-062,Wilson Point Area,0,Very Low,No Change
2-001,Petaluma Valley,Pending,Pending,Pending
2-002.01,Napa-Sonoma Valley - Napa Valley,22,High,No Change
2-002.02,Napa-Sonoma Valley - Sonoma Valley,Pending,Pending,Pending
2-002.03,Napa-Sonoma Valley - Napa-Sonoma Lowlands,Pending,Pending,Pending
2-003,Suisun-Fairfield Valley,11.5,Low,No Change
2-004,Pittsburg Plain,0,Very Low,No Change
2-005,Clayton Valley,0,Very Low,No Change
2-006,Ygnacio Valley,0,Very Low,No Change
2-007,San Ramon Valley,0,Very Low,No Change
2-008,Castro Valley,0,Very Low,No Change
2-009.01,Santa Clara Valley - Niles Cone,18,Medium,No Change
2-009.02,Santa Clara Valley - Santa Clara,24.5,High,No Change
2-009.03,Santa Clara Valley - San Mateo Plain,0,Very Low,No Change
2-009.04,Santa Clara Valley - East Bay Plain,17,Medium,No Change
2-010,Livermore Valley,16,Medium,No Change
2-011,Sunol Valley,0,Very Low,No Change
2-019,Kenwood Valley,0,Very Low,No Change
2-022,Half Moon Bay Terrace,0,Very Low,No Change
2-024,San Gregorio Valley,0,Very Low,No Change
2-026,Pescadero Valley,0,Very Low,No Change
2-027,Sand Point Area,Pending,Pending,Pending
2-028,Ross Valley,0,Very Low,No Change
2-029,San Rafael Valley,0,Very Low,No Change
2-030,Novato Valley,14,Low,No Change
2-031,Arroyo Del Hambre Valley,0,Very Low,No Change
2-032,Visitacion Valley,0,Very Low,No Change
2-033,Islais Valley,0,Very Low,No Change
2-035,Westside,0,Very Low,No Change
2-036,San Pedro Valley,0,Very Low,No Change
2-037,South San Francisco,0,Very Low,No Change
2-038,Lobos,0,Very Low,No Change
2-039,Marina,0,Very Low,No Change
2-040,Downtown,0,Very Low,No Change
3-001,Santa Cruz Mid-County,40,High,No Change
3-002.01,Corralitos - Pajaro Valley,40,High,No Change
3-002.02,Corralitos - Purisima Highlands,0,Very Low,M/H to L/VL
3-003.01,Gilroy-Hollister Valley - Llagas Area,24,High,No Change
3-003.05,Gilroy-Hollister Valley - North San Benito,Pending,Pending,Pending
3-004.01,Salinas Valley - 180/400 Foot Aquifer,40,High,No Change
3-004.02,Salinas Valley - East Side Aquifer,27,High,No Change
3-004.04,Salinas Valley - Forebay Aquifer,21,Medium,No Change
3-004.05,Salinas Valley - Upper Valley Aquifer,Pending,Pending,Pending
3-004.06,Salinas Valley - Paso Robles Area,Pending,Pending,Pending
3-004.08,Salinas Valley - Seaside Area,0,Very Low,M/H to L/VL
3-004.09,Salinas Valley - Langley Area,23,High,No Change
3-004.10,Salinas Valley - Corral De Tierra Area,20.5,Medium,No Change
3-004.11,Salinas Valley - Atascadero Area,0,Very Low,M/H to L/VL
3-005,Cholame Valley,0,Very Low,No Change
3-006,Lockwood Valley,0,Very Low,No Change
3-007,Carmel Valley,20.5,Medium,No Change
3-008.01,Los Osos Valley - Los Osos Area,Pending,Pending,Pending
3-008.02,Los Osos Valley - Warden Creek,Pending,Pending,Pending
3-009,San Luis Obispo Valley,21.5,High,No Change
3-012.01,Santa Maria - Santa Maria  ,Pending,Pending,Pending
3-012.02,Santa Maria - Arroyo Grande,Pending,Pending,Pending
3-013,Cuyama Valley,40,High,No Change
3-014,San Antonio Creek Valley,15,Medium,No Change
3-015,Santa Ynez River Valley,15,Medium,No Change
3-016,Goleta,0,Very Low,M/H to L/VL
3-017,Santa Barbara,0,Very Low,No Change
3-018,Carpinteria,Pending,Pending,Pending
3-019,Carrizo Plain,0,Very Low,No Change
3-020,Ano Nuevo Area,0,Very Low,No Change
3-022,Santa Ana Valley,0,Very Low,No Change
3-023,Upper Santa Ana Valley,0,Very Low,No Change
3-024,Quien Sabe Valley,0,Very Low,No Change
3-026,West Santa Cruz Terrace,0,Very Low,M/H to L/VL
3-027,Santa Margarita,16.5,Medium,No Change
3-028,San Benito River Valley,0,Very Low,No Change
3-029,Dry Lake Valley,0,Very Low,No Change
3-030,Bitter Water Valley,0,Very Low,No Change
3-031,Hernandez Valley,0,Very Low,No Change
3-032,Peach Tree Valley,0,Very Low,No Change
3-033,San Carpoforo Valley,0,Very Low,No Change
3-034,Arroyo De La Cruz Valley,0,Very Low,No Change
3-035,San Simeon Valley,0,Very Low,No Change
3-036,Santa Rosa Valley,0,Very Low,No Change
3-037,Villa Valley,0,Very Low,No Change
3-038,Cayucos Valley,0,Very Low,No Change
3-039,Old Valley,0,Very Low,No Change
3-040,Toro Valley,0,Very Low,No Change
3-041,Morro Valley,0,Very Low,No Change
3-042,Chorro Valley,0,Very Low,No Change
3-043,Rinconada Valley,0,Very Low,No Change
3-044,Pozo Valley,0,Very Low,No Change
3-045,Huasna Valley,0,Very Low,No Change
3-046,Rafael Valley,0,Very Low,No Change
3-047,Big Spring Area,0,Very Low,No Change
3-049,Montecito,Pending,Pending,Pending
3-051,Majors Creek,0,Very Low,No Change
3-052,Needle Rock Point,0,Very Low,No Change
3-053,Foothill,0,Very Low,No Change
4-001,Upper Ojai Valley,0,Very Low,No Change
4-002,Ojai Valley,22.5,High,No Change
4-003.01,Ventura River Valley - Upper Ventura River,18.5,Medium,No Change
4-003.02,Ventura River Valley - Lower Ventura River,0,Very Low,No Change
4-004.02,Santa Clara River Valley - Oxnard,Pending,Pending,Pending
4-004.03,Santa Clara River Valley - Mound,Pending,Pending,Pending
4-004.04,Santa Clara River Valley - Santa Paula,Pending,Pending,Pending
4-004.05,Santa Clara River Valley - Fillmore,Pending,Pending,Pending
4-004.06,Santa Clara River Valley - Piru,Pending,Pending,Pending
4-004.07,Santa Clara River Valley - Santa Clara River Valley East,22,High,No Change
4-005,Acton Valley,0,Very Low,No Change
4-006,Pleasant Valley,40,High,No Change
4-007,Arroyo Santa Rosa Valley,Pending,Pending,Pending
4-008,Las Posas Valley,27,High,No Change
4-009,Simi Valley,0,Very Low,No Change
4-010,Conejo,0,Very Low,No Change
4-011.01,Coastal Plain Of Los Angeles - Santa Monica,17.5,Medium,No Change
4-011.02,Coastal Plain Of Los Angeles - Hollywood,0,Very Low,No Change
4-011.03,Coastal Plain Of Los Angeles - West Coast,0,Very Low,M/H to L/VL
4-011.04,Coastal Plain Of Los Angeles - Central,0,Very Low,M/H to L/VL
4-012,San Fernando Valley,0,Very Low,M/H to L/VL
4-013,San Gabriel Valley,0,Very Low,M/H to L/VL
4-015,Tierra Rejada,0,Very Low,No Change
4-016,Hidden Valley,0,Very Low,No Change
4-017,Lockwood Valley,0,Very Low,No Change
4-018,Hungry Valley,0,Very Low,No Change
4-019,Thousand Oaks Area,0,Very Low,No Change
4-020,Russell Valley,0,Very Low,No Change
4-022,Malibu Valley,0,Very Low,No Change
4-023,Raymond,0,Very Low,M/H to L/VL
5-001.01,Goose Lake - Goose Valley,7,Very Low,No Change
5-001.02,Goose Lake - Fandango Valley,0,Very Low,No Change
5-002.01,Alturas Area - South Fork Pitt River,9,Low,No Change
5-002.02,Alturas Area - Warm Springs Valley,0,Very Low,No Change
5-003,Jess Valley,0,Very Low,No Change
5-004,Big Valley,14.5,Medium,No Change
5-005,Fall River Valley,12.5,Low,No Change
5-006.01,Redding Area - Bowman,Pending,Pending,Pending
5-006.03,Redding Area - Anderson,17,Medium,No Change
5-006.04,Redding Area - Enterprise,18,Medium,No Change
5-006.05,Redding Area - Millville,Pending,Pending,Pending
5-006.06,Redding Area - South Battle Creek,Pending,Pending,Pending
5-007,Lake Almanor Valley,0,Very Low,No Change
5-008,Mountain Meadows Valley,0,Very Low,No Change
5-009,Indian Valley,0,Very Low,No Change
5-010,American Valley,0,Very Low,No Change
5-011,Mohawk Valley,0,Very Low,No Change
5-012.01,Sierra Valley - Sierra Valley,Pending,Pending,Pending
5-012.02,Sierra Valley - Chilcoot,0,Very Low,No Change
5-013,Upper Lake Valley,0,Very Low,No Change
5-014,Scotts Valley,0,Very Low,M/H to L/VL
5-015,Big Valley,20,Medium,No Change
5-016,High Valley,0,Very Low,No Change
5-017,Burns Valley,0,Very Low,No Change
5-018,Coyote Valley,0,Very Low,No Change
5-019,Collayomi Valley,0,Very Low,No Change
5-020,Berryessa Valley,0,Very Low,No Change
5-021.50,Sacramento Valley - Red Bluff,20,Medium,No Change
5-021.51,Sacramento Valley - Corning,Pending,Pending,Pending
