Station,ID,Elev (feet),Latitude,Longitude,County,River Basin,
ABBEY,ABY,5650,39.955,-120.538,PLUMAS,FEATHER R,
ADIN MOUNTAIN,ADI,6200,41.237,-120.793,MODOC,PIT R,
ADIN RS,ADN,4195,41.194,-120.944,MODOC,PIT R,
AGNEW PASS,AGP,9450,37.72663,-119.14173,MADERA,SAN JOAQUIN R,
ALPHA,APH,7600,38.804138,-120.215645,EL DORADO,AMERICAN R,
ALPINE LAKE,APN,654,37.94,-122.637,MARIN,COAST-MARIN,
ALTURAS RS,ALT,4400,41.5,-120.55,MODOC,PIT R,
AMERICAN R AT FOLSOM,AMF,0,38.683,-121.183,SACRAMENTO,AMERICAN R,
AMERICAN RIVER PUMP STATION,APS,480,38.9,-121.1,SACRAMENTO,AMERICAN R,
ANGWIN PACIFIC UNION COL,APU,1815,38.5731,-122.4406,NAPA,NAPA R,
ANTELOPE LAKE,ANT,4960,40.18,-120.607,PLUMAS,FEATHER R,
ANTELOPE RIDGE,ANR,5650,40.155,-120.542,PLUMAS,FEATHER R,
ANTELOPE SPRINGS,ATS,4350,38.503,-120.467,AMADOR,MOKELUMNE R,
ANTHONY PEAK,ATP,6200,39.842,-122.95,TEHAMA,STONY CR,
ARROYO SECO (PASADENA),ASP,1398,34.222,-118.177,LOS ANGELES,LOS ANGELES R,
ARROYO SECO NR SOLEDAD,ASS,399,36.280521,-121.322708,MONTEREY,SALINAS R,
ARROYO VALLE NR LIVERMORE,AVL,510,37.623264,-121.758842,ALAMEDA,EAST BAY,
ASH CREEK,ASH,5000,41.4,-122.05,SISKIYOU,MC CLOUD R,
ASH MOUNTAIN,ASM,1708,36.483,-118.833,TULARE,KAWEAH R,
ATWELL CAMP,ATW,6400,36.464,-118.631,TULARE,KAWEAH R,
AUBERRY 2 NW,ABR,2090,37.083,-119.5,FRESNO,SAN JOAQUIN R,
AUBURN,AUB,1292,38.917,-121.083,PLACER,AMERICAN R,
BADGER FLAT,BDF,8300,37.265,-119.108,FRESNO,SAN JOAQUIN R,
BAKERSFIELD AIRPORT,BFK,494,35.434,-119.054,KERN,TULARE LAKE,
BALCH PH (PG&E),BAL,1720,36.909,-119.089,FRESNO,KINGS R,
BANGOR CANAL,BNG,815,39.504,-121.454,BUTTE,FEATHER R,
BARRETT,BRT,1607,32.678,-116.669,SAN DIEGO,SAN DIEGO R,
BARSTOW,BFS,2320,34.9,-117.017,SAN BERNARDINO,MOJAVE R,
BEACH MEADOWS,BHM,7650,36.122,-118.293,TULARE,KERN R,
BEAR BASIN,BBS,6500,40.967,-122.867,TRINITY,TRINITY R,
BEAR RIVER AT CAMP FAR WEST DAM,CFW,260,39.05,-121.317,YUBA,BEAR R,
BEAR TRAP MEADOW,BRM,6800,36.676,-118.858,TULARE,KAWEAH R,
BEAR VALLEY DAM,BRV,6743,34.242,-116.978,SAN BERNARDINO,SANTA ANA R,
