Year,Mo,Date,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORTS,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVER,EFFEC,EFFDIV,X2
2011,10,01OCT2011,21900,259,31,756,175,4630,5592,27751,152,6676,4061,83,10971,2125,0,0,2125,8507,1747,13057,14656,0.39,47,23121,37,74.41,
2011,10,02OCT2011,22100,248,30,764,175,4670,5639,27987,161,6680,4222,80,11143,2075,0,0,2075,8565,1713,13202,14770,0.39,47,23317,37,74.28,
2011,10,03OCT2011,21900,223,31,773,165,4710,5679,27802,148,6676,4214,73,11110,2050,0,0,2050,8507,1744,13042,14642,0.39,47,23092,37,74.16,
2011,10,04OCT2011,21800,179,32,781,163,4810,5786,27765,139,6670,4209,58,11075,2050,229,0,1821,5786,-687,15683,14869,0.39,46,22955,35,74.04,
2011,10,05OCT2011,22000,139,49,856,129,4940,5974,28113,130,6671,4054,57,10912,1999,4585,0,-2586,3982,725,18881,19787,0.38,30,23173,15,73.74,
2011,10,06OCT2011,22700,135,107,1160,118,5150,6535,29370,129,6670,4093,52,10943,2000,4814,0,-2814,3957,1378,19666,21240,0.37,28,24220,12,73.41,
2011,10,07OCT2011,22600,134,104,1490,89,5200,6883,29617,112,6263,4144,58,10576,1950,4814,0,-2864,3972,2140,19564,21905,0.35,26,24417,10,73.08,
2011,10,08OCT2011,22800,135,79,1560,80,5230,6949,29884,103,5588,4155,62,9909,1950,4814,0,-2864,3917,2819,19820,22839,0.33,24,24654,7,72.74,
2011,10,09OCT2011,21800,140,64,1580,80,5300,7024,28964,101,5488,4159,57,9805,1950,4585,0,-2635,3819,2750,18859,21794,0.33,25,23664,8,72.44,
2011,10,10OCT2011,21100,141,66,1570,45,5300,6981,28222,108,6673,4086,43,10910,1900,229,0,1671,3854,-1161,16919,15641,0.38,45,22922,32,72.38,
2011,10,11OCT2011,21300,159,97,1240,27,5350,6714,28173,128,6674,4047,19,10868,1900,0,0,1900,3804,-1585,17123,15405,0.38,45,22823,33,72.33,
2011,10,12OCT2011,20200,171,138,880,30,5710,6758,27129,138,6674,4038,2,10852,1900,0,0,1900,3703,-1626,16136,14377,0.39,47,21419,33,72.33,
2011,10,13OCT2011,19500,189,105,688,31,5650,6474,26163,135,6668,4101,8,10911,1880,0,0,1880,3891,-1768,15272,13371,0.41,49,20513,35,72.38,
2011,10,14OCT2011,18500,185,80,707,31,5790,6608,25293,125,6667,4123,38,10952,1850,0,0,1850,5840,293,12327,12491,0.43,51,19503,36,72.47,
2011,10,15OCT2011,17500,65,71,1020,31,5510,6632,24197,140,6670,4095,53,10958,1850,0,0,1850,7120,1592,9927,11389,0.44,53,18687,39,72.61,
2011,10,16OCT2011,17600,26,64,1340,32,5400,6836,24462,135,6670,4085,58,10949,1850,0,0,1850,6710,1395,10398,11663,0.44,52,19062,39,72.73,
2011,10,17OCT2011,17200,36,61,1360,32,5100,6553,23789,147,6674,4077,64,10962,1850,0,0,1850,6460,848,10258,10977,0.45,54,18689,41,72.88,
2011,10,18OCT2011,16300,46,57,1030,33,5050,6170,22516,154,6674,4076,89,10992,1800,0,0,1800,6340,348,9502,9724,0.48,57,17466,44,73.1,
2011,10,19OCT2011,15600,46,56,689,33,4830,5608,21254,158,6677,4092,100,11027,1785,0,0,1785,6140,-440,9006,8441,0.51,60,16424,49,73.4,
2011,10,20OCT2011,15300,70,54,645,32,4790,5521,20891,160,6676,4080,98,11014,1800,0,0,1800,5990,-673,8876,8077,0.51,61,16101,50,73.72,
2011,10,21OCT2011,14800,80,54,681,39,4690,5464,20344,161,5883,4067,105,10215,1800,0,0,1800,5920,-1,8456,8329,0.49,59,15654,47,73.99,
2011,10,22OCT2011,14300,87,54,1010,44,4840,5948,20335,154,6674,4053,100,10981,1800,0,0,1800,5990,-213,7893,7554,0.53,63,15495,51,74.32,
2011,10,23OCT2011,14100,107,53,1320,40,4820,6233,20440,165,6675,3866,107,10812,1750,0,0,1750,6080,363,7637,7878,0.52,61,15620,50,74.59,
2011,10,24OCT2011,13500,94,54,1340,37,4940,6371,19965,161,6670,4067,111,11009,1750,0,0,1750,6100,324,7004,7206,0.54,64,15025,52,74.91,
2011,10,25OCT2011,13700,96,55,1020,38,4820,5933,19729,162,6676,4152,104,11093,1664,0,0,1664,6090,-152,7240,6972,0.54,65,14909,53,75.24,
2011,10,26OCT2011,13700,114,53,696,38,4950,5737,19551,141,6675,4159,110,11084,1744,0,0,1744,6070,-411,7256,6722,0.55,66,14601,54,75.57,
2011,10,27OCT2011,13200,120,52,655,39,4800,5546,18866,131,6676,4128,97,11031,1750,0,0,1750,6100,-522,6730,6085,0.57,68,14066,57,75.95,
2011,10,28OCT2011,12700,130,52,688,43,4650,5433,18263,133,6673,4163,98,11068,1750,0,0,1750,5960,-812,6380,5445,0.59,70,13613,60,76.37,
2011,10,29OCT2011,12600,114,52,1020,52,4720,5844,18558,136,6679,4144,97,11056,1632,0,0,1632,5830,-443,6427,5870,0.58,68,13838,58,76.73,
2011,10,30OCT2011,12700,107,51,1330,54,4740,6175,18982,129,6676,4160,93,11058,1700,0,0,1700,5650,-338,6681,6224,0.57,67,14242,56,77.03,
2011,10,31OCT2011,12300,101,47,1380,84,4750,6261,18662,129,6674,2018,109,8930,1679,0,0,1679,5360,1600,6571,8053,0.46,57,13912,42,77.14,
2011,11,01NOV2011,12800,97,50,1400,233,4720,6403,19300,269,6679,4072,98,11117,1691,0,0,1691,4990,-824,7433,6491,0.56,66,14580,55,77.39,
2011,11,02NOV2011,11900,96,51,1130,354,4550,6085,18081,359,6671,4094,104,11228,1694,0,0,1694,5010,-1234,6512,5159,0.6,71,13531,62,77.77,
2011,11,03NOV2011,11500,89,50,789,387,3960,5186,16775,369,6671,4006,104,11150,1700,0,0,1700,5310,-1759,5803,3925,0.64,77,12815,69,78.31,
2011,11,04NOV2011,11900,80,49,660,387,3500,4596,16576,368,4995,4167,97,9627,1700,0,0,1700,5350,-786,6154,5249,0.55,68,13076,60,78.63,
2011,11,05NOV2011,11500,80,54,576,335,3250,4215,15795,346,4993,4148,91,9578,1700,1375,0,325,5370,-204,6119,5892,0.58,63,12545,53,78.86,
2011,11,06NOV2011,11500,80,59,569,240,3130,3998,15578,357,4995,4310,92,9754,1647,1375,0,272,5420,-513,6084,5552,0.59,64,12448,55,79.12,
2011,11,07NOV2011,11700,68,61,550,147,2970,3728,15496,235,4998,4081,90,9405,1700,1375,0,325,5440,-448,6237,5767,0.59,63,12526,54,79.33,
2011,11,08NOV2011,11700,53,64,552,66,2750,3432,15185,307,3990,4162,84,8544,1650,1375,0,275,5450,160,6226,6367,0.54,58,12435,49,79.47,
2011,11,09NOV2011,11700,50,59,548,48,2690,3345,15095,231,3991,4147,75,8444,1697,1375,0,322,5490,182,6170,6330,0.54,58,12405,49,79.61,
2011,11,10NOV2011,11300,50,57,540,47,2630,3274,14624,312,3997,4167,87,8563,1650,0,0,1650,5530,-832,5358,4411,0.56,70,11994,63,79.97,
2011,11,11NOV2011,10900,48,55,478,48,2610,3191,14139,310,3994,4154,62,8520,1650,458,0,1192,5470,-634,5144,4427,0.58,69,11529,62,80.31,
2011,11,12NOV2011,11100,45,56,705,48,2590,3399,14544,307,3994,4168,76,8546,1650,458,0,1192,5430,-491,5381,4807,0.56,67,11954,60,80.58,
2011,11,13NOV2011,11500,45,59,725,49,2550,3383,14928,305,3997,4160,77,8539,1650,458,0,1192,5410,-521,5801,5197,0.55,65,12378,58,80.78,
2011,11,14NOV2011,11800,45,64,728,49,2520,3361,15206,342,3989,4152,76,8558,1650,458,0,1192,5380,-592,6131,5456,0.54,64,12686,57,80.94,
2011,11,15NOV2011,12000,45,60,715,49,2480,3304,15349,337,3998,4101,81,8517,1684,458,0,1226,5370,-640,6332,5606,0.53,63,12869,56,81.08,
2011,11,16NOV2011,12100,46,58,629,50,2470,3207,15353,337,2990,4089,81,7496,1684,0,0,1684,5400,16,6275,6173,0.46,60,12883,52,81.14,
2011,11,17NOV2011,12200,47,56,533,51,2430,3070,15317,316,1992,3530,78,5915,1700,0,0,1700,5460,1510,6311,7702,0.36,50,12887,40,81.06,
2011,11,18NOV2011,12300,50,56,433,85,2410,2984,15334,277,1962,3290,70,5598,1700,0,0,1700,5540,1821,6334,8036,0.34,48,12924,38,80.95,
2011,11,19NOV2011,12600,54,59,350,166,2440,3015,15669,292,1992,3289,81,5654,1700,688,0,1012,5670,2373,6701,9003,0.34,43,13229,32,80.78,
2011,11,20NOV2011,12700,71,79,373,272,2530,3254,16025,319,1992,3296,63,5671,1750,2980,0,-1230,5840,4223,7275,11584,0.33,28,13495,14,80.45,
2011,11,21NOV2011,13500,73,79,340,363,2590,3372,16945,308,1996,3289,55,5649,1750,2980,0,-1230,6080,4602,7837,12526,0.31,26,14355,13,80.1,
2011,11,22NOV2011,13600,72,76,336,455,2510,3377,17049,287,1991,3286,51,5615,1750,2980,0,-1230,6330,4892,7686,12664,0.31,26,14539,13,79.75,
2011,11,23NOV2011,13300,72,68,337,499,2430,3334,16706,276,1991,3299,48,5615,1750,2980,0,-1230,6480,4998,7236,12321,0.32,26,14276,14,79.44,
2011,11,24NOV2011,13700,65,65,346,498,2380,3289,17054,281,1992,3309,43,5625,1750,2522,0,-772,6400,4566,7581,12201,0.31,28,14674,17,79.16,
2011,11,25NOV2011,14400,62,64,334,497,2340,3235,17697,282,1493,3303,46,5124,1800,229,0,1571,6380,3470,7642,11002,0.27,38,15357,28,78.95,
2011,11,26NOV2011,15200,62,62,336,496,2310,3204,18466,276,1493,3288,54,5112,1800,229,0,1571,6620,3691,8202,11783,0.26,36,16156,27,78.72,
2011,11,27NOV2011,15400,62,61,326,438,2280,3105,18567,286,1493,824,54,2657,1850,229,0,1621,6810,6204,8198,14289,0.12,23,16287,12,78.37,
2011,11,28NOV2011,15500,62,60,333,345,2270,3008,18570,283,2997,832,52,4164,1900,229,0,1671,6750,4508,8344,12735,0.21,31,16300,22,78.11,
2011,11,29NOV2011,15200,85,59,331,239,2220,2849,18134,295,2999,0,52,3345,1900,0,0,1900,6530,4799,8223,12889,0.17,29,15914,19,77.87,
2011,11,30NOV2011,14800,123,58,334,133,2150,2675,17598,295,2991,0,52,3339,1950,229,0,1721,5990,4208,8451,12538,0.17,29,15448,19,77.65,
2011,12,01DEC2011,14400,123,56,320,104,2090,2570,17093,295,6675,1891,57,8918,2000,229,0,1771,4320,-3179,9707,6404,0.5,63,15003,57,77.88,
2011,12,02DEC2011,13600,129,54,270,105,2030,2459,16188,291,6662,4078,69,11100,2000,229,0,1771,3172,-6620,10061,3317,0.66,80,14158,77,78.52,
2011,12,03DEC2011,14400,134,53,283,106,1950,2392,16926,295,5379,4107,59,9840,2000,229,0,1771,3050,-5549,10988,5315,0.56,69,14976,65,78.82,
2011,12,04DEC2011,14100,134,52,278,106,1920,2356,16590,300,5564,4074,53,9992,2050,229,0,1821,3008,-5811,10716,4778,0.58,71,14670,67,79.17,
2011,12,05DEC2011,14600,103,52,277,106,1910,2345,17048,305,5997,4079,55,10437,2100,0,0,2100,3050,-6407,11065,4511,0.59,74,15138,70,79.55,
2011,12,06DEC2011,14400,90,51,272,101,1850,2274,16764,302,6676,4070,41,11088,2100,0,0,2100,3068,-7111,10834,3576,0.64,79,14914,76,80.05,
2011,12,07DEC2011,14700,94,52,269,100,1800,2221,17015,303,6399,4068,54,10824,2150,0,0,2150,3081,-6919,11111,4041,0.62,76,15215,73,80.44,
2011,12,08DEC2011,15500,85,52,269,94,1780,2195,17780,320,6394,4062,64,10840,2150,0,0,2150,3184,-6858,11799,4790,0.59,73,16000,70,80.7,
2011,12,09DEC2011,15900,76,54,248,99,1760,2161,18137,306,6394,4056,63,10820,2150,0,0,2150,3206,-6850,12168,5167,0.58,72,16377,68,80.9,
2011,12,10DEC2011,15600,76,54,261,101,1740,2156,17832,271,6384,4062,55,10772,2200,0,0,2200,3237,-6809,11823,4860,0.59,73,16092,70,81.13,
2011,12,11DEC2011,15400,74,53,265,101,1770,2189,17663,306,6394,4066,59,10826,2200,0,0,2200,3244,-6823,11614,4637,0.59,74,15893,71,81.38,
2011,12,12DEC2011,15700,92,53,266,101,1810,2230,18022,105,6395,4071,57,10628,2200,0,0,2200,3304,-6524,11872,5194,0.58,71,16212,68,81.54,
2011,12,13DEC2011,16100,99,54,265,101,1790,2210,18409,144,6394,4073,19,10630,2200,0,0,2200,3314,-6536,12269,5579,0.57,70,16619,66,81.64,
2011,12,14DEC2011,16500,96,54,253,101,1760,2168,18764,150,6394,4068,7,10619,2200,0,0,2200,3280,-6601,12700,5945,0.56,68,17004,65,81.7,
2011,12,15DEC2011,16500,94,53,265,101,1760,2179,18773,155,6539,4035,0,10729,2200,458,0,1742,3342,-6340,12764,6303,0.56,66,17013,63,81.72,
2011,12,16DEC2011,16700,92,53,266,102,1810,2231,19023,329,6394,3971,15,10710,2200,458,0,1742,3347,-6264,12957,6572,0.54,65,17213,62,81.7,
2011,12,17DEC2011,17000,89,56,265,103,1790,2214,19303,292,6395,4028,23,10738,2200,458,0,1742,3373,-6283,13228,6823,0.54,65,17513,61,81.67,
2011,12,18DEC2011,16900,82,55,268,104,1810,2237,19219,298,6394,4074,33,10799,2150,458,0,1692,3403,-6259,13105,6728,0.54,65,17409,61,81.65,
2011,12,19DEC2011,16800,79,54,255,99,1820,2228,19107,299,6389,4048,50,10787,2150,458,0,1692,3363,-6296,13042,6628,0.55,65,17287,62,81.63,
2011,12,20DEC2011,15700,72,53,267,96,1820,2236,18008,339,4988,4057,57,9440,2150,0,0,2150,3279,-5323,11891,6418,0.5,64,16188,60,81.64,
2011,12,21DEC2011,14400,69,53,260,98,1810,2221,16690,342,3995,4069,43,8450,2100,0,0,2100,3195,-4399,10686,6140,0.48,63,14880,59,81.68,
2011,12,22DEC2011,14100,69,52,269,98,1780,2199,16368,350,3991,4076,61,8477,2100,0,0,2100,3096,-4547,10485,5791,0.49,65,14588,60,81.75,
2011,12,23DEC2011,13300,65,51,267,98,1790,2206,15571,340,2496,4069,53,6957,2050,0,0,2050,2964,-3120,9827,6564,0.42,58,13781,52,81.74,
2011,12,24DEC2011,12800,64,46,263,98,1800,2207,15071,302,2497,4046,66,6911,2050,0,0,2050,2909,-3127,9381,6110,0.43,59,13271,54,81.77,
2011,12,25DEC2011,12100,64,52,266,98,1810,2226,14390,294,2498,4055,68,6914,2000,0,0,2000,2832,-3156,8772,5476,0.46,62,12580,56,81.88,
2011,12,26DEC2011,12100,64,54,267,98,1820,2239,14403,293,2497,4058,54,6903,2000,0,0,2000,2790,-3174,8814,5500,0.46,62,12583,56,81.97,
2011,12,27DEC2011,12200,64,54,265,99,1780,2198,14462,289,2995,4044,59,7388,1950,0,0,1950,2757,-3700,8961,5124,0.49,65,12682,60,82.11,
2011,12,28DEC2011,12000,69,53,251,98,1740,2142,14211,194,3498,4047,55,7794,1950,0,0,1950,2674,-4246,8849,4467,0.53,69,12471,64,82.32,
2011,12,29DEC2011,11800,65,53,258,98,1710,2119,13984,105,3489,4052,64,7710,1900,0,0,1900,2664,-4162,8669,4374,0.54,69,12274,64,82.54,
2011,12,30DEC2011,11800,64,54,260,98,1730,2142,14006,129,3994,4050,71,8244,1850,0,0,1850,2636,-4669,8710,3912,0.57,72,12276,68,82.82,
2011,12,31DEC2011,11800,64,54,265,98,1770,2187,14051,126,3985,2572,58,6741,1800,0,0,1800,2617,-3107,8743,5510,0.47,61,12281,55,82.86,
2012,1,01JAN2012,11500,64,54,265,98,1800,2217,13781,112,3412,1975,64,5563,1700,0,0,1700,2571,-1880,8517,6518,0.39,53,11981,46,82.79,
2012,1,02JAN2012,11200,64,53,250,99,1780,2182,13446,118,3995,1979,53,6145,1650,0,0,1650,2548,-2487,8254,5651,0.44,58,11666,52,82.82,
2012,1,03JAN2012,11200,64,52,260,99,1700,2111,13375,112,3995,1980,66,6153,1600,0,0,1600,2500,-2582,8316,5622,0.45,58,11675,52,82.85,
2012,1,04JAN2012,11100,64,52,255,81,1670,2058,13222,121,3995,1973,65,6154,1550,0,0,1550,2494,-2609,8236,5518,0.45,58,11552,52,82.89,
2012,1,05JAN2012,10900,64,51,251,46,1640,1988,12952,123,3994,1973,63,6153,1500,0,0,1500,2495,-2645,8049,5299,0.46,59,11312,53,82.95,
2012,1,06JAN2012,10500,68,50,250,46,1610,1956,12524,119,3995,1977,63,6153,1450,0,0,1450,2546,-2594,7616,4921,0.48,61,10914,55,83.06,
2012,1,07JAN2012,11200,69,50,251,47,1630,1978,13247,119,3993,1976,62,6149,1450,0,0,1450,2562,-2552,8301,5648,0.45,57,11617,51,83.07,
2012,1,08JAN2012,10500,69,50,257,48,1690,2045,12614,118,3494,1973,58,5643,1450,0,0,1450,2566,-1974,7597,5521,0.43,56,10924,49,83.1,
2012,1,09JAN2012,10900,73,49,258,48,1730,2085,13058,124,3494,1968,63,5648,1350,0,0,1350,2666,-1774,7929,6060,0.42,54,11328,47,83.06,
