Year,Mo,Date,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORTS,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVER,EFFEC,EFFDIV,X2
2013,10,01OCT2013,9960,224,15,112,91,1140,1358,11542,157,1490,3312,89,5048,2110,0,0,2110,5030,-31,4563,4384,0.41,62,10402,58,84.35,
2013,10,02OCT2013,9370,235,15,110,91,1080,1296,10901,170,1998,2820,81,5069,2055,0,0,2055,4900,-209,4130,3777,0.44,65,9821,62,84.55,
2013,10,03OCT2013,9670,222,14,105,82,1010,1211,11103,156,1493,2597,84,4331,1998,0,0,1998,4690,272,4643,4774,0.36,57,10093,53,84.59,
2013,10,04OCT2013,9000,219,14,107,82,1040,1243,10462,167,1995,2590,91,4842,1996,0,0,1996,4430,-467,4230,3624,0.43,65,9422,62,84.81,
2013,10,05OCT2013,8580,223,15,109,87,1060,1271,10074,170,1490,2611,80,4351,2000,0,0,2000,4620,240,3623,3723,0.41,63,9014,59,84.99,
2013,10,06OCT2013,8560,221,14,114,87,1060,1275,10056,182,1491,2607,91,4371,1950,0,0,1950,4660,297,3575,3736,0.4,63,8996,58,85.17,
2013,10,07OCT2013,8350,230,14,116,88,1050,1268,9848,179,1489,2617,91,4376,1945,0,0,1945,4537,165,3499,3527,0.42,64,8798,60,85.37,
2013,10,08OCT2013,8480,234,14,459,89,1040,1602,10316,171,997,2620,101,3888,1911,0,0,1911,3717,188,4462,4516,0.35,56,9276,51,85.4,
2013,10,09OCT2013,8470,238,14,287,89,1030,1420,10128,180,995,2620,96,3890,1912,0,0,1912,1956,-1757,6217,4326,0.35,57,9098,52,85.45,
2013,10,10OCT2013,8540,235,14,181,68,984,1247,10022,187,996,2623,99,3906,1866,0,0,1866,2939,-932,5313,4251,0.36,58,9038,53,85.52,
2013,10,11OCT2013,8630,232,14,114,26,987,1141,10003,179,992,2624,78,3873,1873,0,0,1873,4619,669,3719,4257,0.36,57,9016,53,85.58,
2013,10,12OCT2013,8620,233,14,109,29,1030,1182,10035,176,990,2597,82,3844,1900,0,0,1900,4616,718,3705,4291,0.36,57,9005,52,85.63,
2013,10,13OCT2013,8810,229,14,110,29,1050,1203,10242,178,993,2632,84,3887,1900,0,0,1900,4320,401,4187,4455,0.35,57,9192,52,85.65,
2013,10,14OCT2013,8140,223,15,115,28,1040,1198,9561,178,993,2627,92,3890,1850,0,0,1850,4240,346,3605,3821,0.38,60,8521,55,85.78,
2013,10,15OCT2013,7930,181,15,270,29,1130,1444,9555,174,992,2601,98,3866,1768,0,0,1768,4413,842,3203,3921,0.37,59,8425,53,85.88,
2013,10,16OCT2013,7780,173,15,197,29,1290,1531,9484,172,970,2598,104,3843,1825,0,0,1825,4370,871,3073,3816,0.37,60,8194,53,85.99,
2013,10,17OCT2013,7490,159,15,149,30,1310,1504,9153,168,995,2629,109,3902,1826,0,0,1826,2792,-793,4346,3425,0.39,63,7843,56,86.16,
