Year,Mo,Date,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORTS,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVER,EFFEC,EFFDIV,X2
2014,10,01OCT2014,7670,297,0,89,13,320,422,8389,106,789,1681,39,2615,2112,0,0,2112,3960,394,3416,3662,0.29,56,8069,55,90.21,
2014,10,02OCT2014,7450,290,0,90,17,355,462,8202,129,789,1670,50,2638,2068,0,0,2068,3960,440,3201,3496,0.3,57,7847,55,90.14,
2014,10,03OCT2014,7230,314,0,90,865,350,1305,8849,140,788,1656,56,2640,2020,0,0,2020,3970,1323,3008,4190,0.27,53,8499,51,89.96,
2014,10,04OCT2014,6770,334,0,91,720,340,1151,8255,144,785,1051,46,2026,2022,0,0,2022,3920,1731,2618,4207,0.22,49,7915,47,89.78,
2014,10,05OCT2014,6670,348,0,91,705,355,1151,8169,158,793,810,36,1796,1965,0,0,1965,3910,1987,2558,4407,0.19,46,7814,44,89.58,
2014,10,06OCT2014,6500,368,0,93,796,365,1254,8122,173,799,810,42,1824,1977,0,0,1977,3940,2086,2374,4322,0.2,47,7757,44,89.41,
2014,10,07OCT2014,6170,373,0,239,831,380,1450,7993,171,790,813,40,1814,1920,0,0,1920,3900,2288,2105,4259,0.2,47,7613,44,89.26,
2014,10,08OCT2014,6140,372,0,199,881,385,1465,7977,176,296,824,39,1336,1917,0,0,1917,3810,2693,2165,4724,0.14,41,7592,38,89.04,
2014,10,09OCT2014,5960,387,0,97,969,375,1441,7788,164,287,254,39,743,1912,0,0,1912,3836,3291,1975,5133,0.06,34,7413,31,88.79,
2014,10,10OCT2014,6000,407,0,94,541,370,1005,7412,153,288,577,42,1059,1862,0,0,1862,3848,2584,2038,4491,0.11,39,7042,36,88.63,
2014,10,11OCT2014,6000,409,0,93,229,371,693,7102,136,291,815,40,1283,1866,0,0,1866,3848,2046,2038,3953,0.15,44,6731,41,88.57,
2014,10,12OCT2014,6290,402,4,94,232,392,722,7414,127,289,237,40,693,1864,0,0,1864,3933,2750,2237,4856,0.07,34,7022,31,88.38,
2014,10,13OCT2014,5500,381,3,87,222,378,690,6571,102,292,572,53,1019,1870,0,0,1870,3702,2156,1656,3681,0.13,44,6193,41,88.37,
2014,10,14OCT2014,5340,350,2,243,83,346,674,6364,81,295,813,57,1247,1816,0,0,1816,3655,1902,1527,3302,0.17,48,6018,45,88.44,
2014,10,15OCT2014,6700,229,3,331,34,323,691,7620,76,285,239,55,656,1796,0,0,1796,4053,2921,2373,5169,0.06,32,7297,29,88.22,
2014,10,16OCT2014,6150,149,3,184,23,322,532,6831,80,294,662,44,1081,1790,0,0,1790,3290,1578,2508,3961,0.13,42,6509,39,88.17,
2014,10,17OCT2014,6160,155,4,149,95,319,567,6882,77,295,942,35,1349,1789,0,0,1789,3340,1395,2474,3744,0.17,46,6563,43,88.17,
2014,10,18OCT2014,5930,153,4,98,199,319,620,6703,76,294,0,55,426,1739,0,0,1739,3330,2394,2266,4538,0.03,32,6384,29,88.04,
2014,10,19OCT2014,5800,152,4,96,108,329,537,6489,82,291,623,75,1071,1758,0,0,1758,3350,1673,2110,3660,0.13,44,6160,41,88.06,
2014,10,20OCT2014,5630,151,4,101,64,369,538,6319,77,291,886,64,1317,1742,0,0,1742,3380,1468,1913,3259,0.18,48,5950,45,88.15,
2014,10,21OCT2014,6090,161,5,370,845,375,1595,7846,76,297,96,74,543,1760,0,0,1760,3470,3378,2288,5543,0.05,29,7471,26,87.9,
2014,10,22OCT2014,5900,161,6,203,288,388,885,6946,97,287,572,76,1032,1751,0,0,1751,3530,2245,2041,4163,0.12,40,6558,37,87.84,
2014,10,23OCT2014,5960,155,6,137,39,522,704,6819,121,286,812,63,1282,1697,0,0,1697,3560,1879,2080,3840,0.15,44,6297,39,87.84,
2014,10,24OCT2014,5750,152,7,118,901,536,1562,7464,142,284,236,63,725,1700,0,0,1700,3580,3312,1846,5039,0.06,32,6928,27,87.67,
2014,10,25OCT2014,5600,156,8,99,1070,505,1682,7438,116,290,630,64,1100,1705,0,0,1705,3731,3204,1548,4633,0.12,38,6933,33,87.55,
2014,10,26OCT2014,6830,159,8,99,873,878,1858,8847,118,295,891,42,1346,1705,0,0,1705,4091,3495,2421,5796,0.13,34,7969,27,87.3,
2014,10,27OCT2014,6410,164,11,103,1606,1170,2890,9464,115,298,82,31,526,1707,0,0,1707,3968,5223,2128,7231,0.04,24,8294,13,86.92,
2014,10,28OCT2014,6570,161,12,110,1117,1210,2449,9180,121,295,608,34,1058,1700,0,0,1700,2668,2953,3587,6421,0.09,30,7970,19,86.64,
2014,10,29OCT2014,6890,159,14,411,848,1290,2563,9612,124,287,808,37,1256,1647,0,0,1647,1745,1982,4843,6710,0.11,30,8322,19,86.34,
2014,10,30OCT2014,6770,159,13,143,231,1340,1727,8656,123,283,809,37,1253,1640,0,0,1640,3195,2603,3275,5763,0.12,33,7316,21,86.16,
2014,10,31OCT2014,7230,158,12,102,799,1400,2313,9701,110,281,810,47,1248,1643,1375,0,267,4208,5100,3105,8186,0.11,16,8751,6,85.76,
2014,11,01NOV2014,7180,158,16,110,732,1470,2328,9666,96,776,809,48,1729,1669,1605,0,65,4194,4751,3126,7872,0.16,19,8196,4,85.41,
2014,11,02NOV2014,7550,168,18,139,701,1770,2628,10346,74,761,841,38,1714,1700,1605,0,95,2864,3715,4828,8536,0.15,17,9181,7,85.03,
2014,11,03NOV2014,7730,174,28,136,685,1690,2539,10443,69,1294,807,28,2198,1684,1605,0,80,1857,2146,6025,8165,0.2,22,8753,7,84.7,
2014,11,04NOV2014,7710,175,24,158,1049,1610,2841,10726,69,1292,806,22,2189,1689,1605,0,84,1854,2452,6007,8453,0.19,21,9116,7,84.36,
2014,11,05NOV2014,7290,175,20,414,1090,1510,3034,10499,69,1295,808,23,2195,1686,229,0,1457,1799,1691,5258,6847,0.2,35,8989,24,84.18,
2014,11,06NOV2014,7300,184,17,175,1083,1370,2645,10129,70,1292,807,9,2177,1691,0,0,1691,1800,1169,5210,6261,0.21,38,8759,29,84.06,
2014,11,07NOV2014,7450,186,15,122,512,1270,1919,9555,74,1287,807,14,2181,1690,0,0,1690,3353,1992,3810,5683,0.22,41,8285,31,84.01,
2014,11,08NOV2014,7430,183,14,133,639,1170,1956,9569,76,795,808,12,1691,1639,0,0,1639,4267,3466,2887,6239,0.17,35,8399,26,83.91,
2014,11,09NOV2014,7140,180,13,116,248,1090,1467,8787,77,1286,807,9,2179,1640,0,0,1640,4170,2392,2691,4968,0.24,43,7697,35,83.96,
