Year,Mo,Date,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORTS,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVER,EFFEC,EFFDIV,X2
2016,10,1-Oct-16,13300,307,5,105,158,305,573,14180,162,2991,4064,83,7300,2130,0,0,2130,6290,-1822,6721,4749,0.5,67,13875,66,85.01
2016,10,2-Oct-16,13300,282,5,113,157,328,604,14186,158,2990,3992,70,7210,2081,0,0,2081,6210,-1748,6789,4895,0.49,65,13858,65,85.01
2016,10,3-Oct-16,13400,292,5,208,154,388,755,14447,162,2995,3927,61,7145,2032,0,0,2032,6140,-1571,6983,5270,0.48,64,14059,63,84.96
2016,10,4-Oct-16,13100,288,6,535,149,396,1086,14474,156,2994,4048,48,7246,2035,0,0,2035,6100,-1383,6718,5193,0.49,64,14078,63,84.92
2016,10,5-Oct-16,13000,271,8,267,146,403,823,14094,145,2990,3989,39,7163,1978,0,0,1978,5940,-1686,6777,4953,0.49,65,13691,64,84.91
2016,10,6-Oct-16,12700,285,8,136,145,426,715,13700,131,2997,3986,12,7125,1970,0,0,1970,5810,-1881,6623,4604,0.51,66,13274,65,84.96
2016,10,7-Oct-16,12300,284,11,115,132,439,696,13280,146,2996,3990,40,7173,1925,0,0,1925,5670,-2058,6375,4182,0.52,69,12841,67,85.06
2016,10,8-Oct-16,11900,268,11,114,121,447,693,12861,143,2994,3999,48,7183,1925,0,0,1925,5540,-2201,6089,3753,0.54,71,12414,70,85.23
2016,10,9-Oct-16,11600,259,11,115,111,479,715,12574,148,2984,3991,39,7163,1938,0,0,1938,5550,-2157,5766,3473,0.55,72,12095,71,85.43
2016,10,10-Oct-16,11500,287,10,143,101,488,742,12529,143,2473,4003,49,6668,1881,0,0,1881,5600,-1548,5660,3980,0.52,68,12041,67,85.54
2016,10,11-Oct-16,11500,311,9,161,103,454,727,12538,153,1995,4002,43,6193,1872,0,0,1872,5590,-1092,5697,4474,0.48,64,12084,63,85.57
2016,10,12-Oct-16,11500,282,9,417,81,448,955,12737,149,1998,4007,51,6206,1873,0,0,1873,5540,-928,5717,4658,0.47,63,12289,62,85.57
2016,10,13-Oct-16,11100,212,9,257,51,455,773,12085,144,1989,3457,45,5634,1881,0,0,1881,5460,-624,5325,4569,0.45,62,11630,61,85.58
2016,10,14-Oct-16,10800,154,13,191,35,494,733,11687,153,1989,3236,54,5432,1845,3668,0,-1823,5480,1966,5984,8077,0.45,31,11193,28,85.22
2016,10,15-Oct-16,10700,67,20,186,27,581,814,11581,153,1994,3231,54,5433,1842,4585,0,-2743,5480,2644,6055,8891,0.45,23,11000,19,84.82
2016,10,16-Oct-16,11500,42,110,291,25,997,1423,12965,147,1998,3239,49,5434,1847,11461,0,-9615,5720,7959,8514,17146,0.4,-32,11968,-43,84.02
2016,10,17-Oct-16,12300,40,620,177,25,1470,2292,14632,141,1989,3248,56,5435,1845,11461,0,-9617,5900,9008,9133,18813,0.36,-29,15119,-24,83.2
2016,10,18-Oct-16,11900,38,321,610,25,1610,2566,14504,124,1990,3246,68,5429,1796,11461,0,-9666,5560,8980,9084,18741,0.36,-29,14907,-26,82.43
2016,10,19-Oct-16,11200,41,147,760,30,1600,2537,13778,118,1992,3236,74,5419,1793,7794,0,-6000,5220,6238,7701,14359,0.38,-4,12178,-18,81.88
2016,10,20-Oct-16,10500,119,92,769,40,1550,2451,13070,118,3240,3225,84,6667,1792,6877,0,-5084,5110,4199,6933,11488,0.49,12,11520,0,81.5
2016,10,21-Oct-16,9670,51,66,476,41,1710,2293,12014,122,3247,3237,86,6692,1794,0,0,1794,4910,-655,4309,3528,0.54,71,10304,66,81.9
2016,10,22-Oct-16,9260,50,52,270,40,1900,2263,11573,123,2742,4027,77,6969,1796,0,0,1796,4750,-1123,4057,2808,0.58,76,9673,71,82.43
2016,10,23-Oct-16,8980,47,45,231,40,2020,2337,11364,124,2748,4090,72,7034,1741,0,0,1741,4680,-1150,3859,2588,0.6,77,9344,72,82.98
2016,10,24-Oct-16,8840,48,41,239,40,2130,2451,11339,120,2746,4099,62,7026,1743,458,0,1284,4600,-810,3928,3028,0.6,73,9209,67,83.4
2016,10,25-Oct-16,8980,59,40,240,37,2140,2457,11496,121,2748,4091,73,7033,1742,688,0,1055,4580,-682,4164,3408,0.59,70,9356,64,83.72
2016,10,26-Oct-16,9220,63,39,556,31,2120,2746,12029,128,2739,4089,69,7024,1741,688,0,1053,4690,-273,4298,3952,0.57,67,9909,60,83.93
2016,10,27-Oct-16,10600,67,40,280,31,2160,2511,13178,115,2995,4078,73,7261,1737,2980,0,-1243,5170,1227,5845,7159,0.54,46,11018,35,83.74
2016,10,28-Oct-16,12800,70,139,264,26,2430,2859,15729,127,4982,4084,67,9259,1744,6877,0,-5132,6100,3036,8207,11602,0.58,26,13299,13,83.25
2016,10,29-Oct-16,13600,71,438,249,19,2610,3316,16987,134,4492,4083,72,8782,1696,6418,0,-4722,6470,4074,8523,12927,0.5,24,14377,10,82.72
2016,10,30-Oct-16,14300,74,329,278,19,2670,3296,17670,134,4494,4089,61,8777,1696,6877,0,-5180,6570,4456,9255,14073,0.49,20,15000,6,82.16
2016,10,31-Oct-16,15300,75,608,256,19,2570,3453,18828,135,4991,4087,73,9286,1697,6877,0,-5180,6700,4234,10125,14722,0.48,22,16258,9,81.6
2016,11,1-Nov-16,15700,77,451,261,20,2310,3042,18819,114,4989,4083,62,9248,1694,5043,0,-3349,6760,2730,9955,12919,0.48,31,16509,22,81.16
2016,11,2-Nov-16,16600,84,329,440,27,2040,2836,19520,105,5195,4078,50,9429,1694,1146,0,548,6940,-10,9590,9543,0.47,51,17480,45,80.94
2016,11,3-Nov-16,17800,87,230,349,34,1970,2583,20470,103,5751,4065,50,9969,1695,1146,0,549,7300,-444,10433,9951,0.48,51,18500,46,80.7
2016,11,4-Nov-16,17900,92,181,226,42,2040,2489,20481,86,6139,4066,48,10339,1695,458,0,1237,7390,-1264,10256,8905,0.5,57,18441,52,80.55
2016,11,5-Nov-16,16700,97,151,258,47,1930,2386,19183,90,6288,4199,38,10615,1695,458,0,1237,6983,-2050,9468,7331,0.55,62,17253,58,80.53
2016,11,6-Nov-16,15100,97,131,343,43,1710,2227,17424,99,6411,4412,34,10957,1695,0,0,1695,4397,-5435,10325,4771,0.62,73,15714,70,80.79
2016,11,7-Nov-16,13700,92,117,327,36,1500,1980,15772,105,6671,4244,41,11061,1696,0,0,1696,2651,-7534,10666,3014,0.69,81,14272,79,81.34
2016,11,8-Nov-16,12500,80,106,342,35,1350,1833,14413,92,5996,4250,58,10397,1645,0,0,1645,2492,-7142,9628,2370,0.71,84,13063,82,82
2016,11,9-Nov-16,12200,70,98,606,40,1200,1944,14214,101,4491,3734,64,8390,1644,0,0,1644,4223,-3291,7586,4180,0.58,71,13014,68,82.27
2016,11,10-Nov-16,12000,67,90,394,39,1040,1563,13630,99,4498,2816,63,7475,1643,0,0,1643,5606,-1375,6001,4511,0.54,67,12590,64,82.47
2016,11,11-Nov-16,11500,71,83,240,38,941,1302,12873,106,3999,2542,69,6716,1646,0,0,1646,5460,-1024,5651,4511,0.51,65,11932,62,82.66
2016,11,12-Nov-16,11100,75,79,328,38,890,1335,12510,100,3494,2043,71,5708,1644,0,0,1644,3552,-1890,7163,5158,0.44,59,11620,56,82.75
