,modis,gldas,gridmet
2001-01-01,1773669.6060562134,459358.68713378906,1177348.675918579
2001-02-01,1534296.8782424927,657209.6136474609,1398414.8776245117
2001-03-01,2761054.5375823975,1421960.7458496094,3083506.3174438477
2001-04-01,2159399.9308776855,1913152.939453125,3933848.040161133
2001-05-01,2787219.663848877,2552807.801513672,7141111.660766602
2001-06-01,1383062.6029586792,1681024.3725585938,7921443.218994141
2001-07-01,2458547.5870513916,1105618.7713623047,8014345.878295898
2001-08-01,1553100.333480835,544156.3037109375,7654779.088439941
2001-09-01,1584284.6159362793,357465.5570983887,5605634.91027832
2001-10-01,987384.2290878296,300407.40829467773,3658641.418762207
2001-11-01,1144682.6546859741,402974.44244384766,1938802.8913879395
2001-12-01,1001305.8548355103,325963.11950683594,1094962.2253417969
2002-01-01,1215105.4948425293,456021.8975830078,1037816.986541748
2002-02-01,1835500.3373336792,769757.7172851562,1675865.78956604
2002-03-01,2238477.1627807617,1418668.500366211,2786459.070739746
2002-04-01,2234758.219985962,1812164.3481445312,4117847.3959350586
2002-05-01,2879667.809829712,2112146.1364746094,6112566.979980469
2002-06-01,2840180.4718780518,1889785.5139160156,7735216.09954834
2002-07-01,1999170.6983184814,1159522.5091552734,8347297.678527832
2002-08-01,1507960.5911636353,528015.849609375,7494239.698791504
2002-09-01,1434288.6223983765,247922.73056030273,5641977.060241699
2002-10-01,950221.6694068909,122118.47122192383,3449586.449432373
2002-11-01,1134389.8254776,552259.4018554688,1956738.4950256348
2002-12-01,950189.4157791138,467238.8314819336,1248084.1213989258
2003-01-01,1267536.547279358,618516.4608764648,1363077.9416656494
2003-02-01,1840547.3569107056,839229.7467041016,1428189.5709228516
2003-03-01,2682206.768875122,1617410.7751464844,3147689.078063965
2003-04-01,2062347.3014831543,1738902.1508789062,3349984.7035217285
2003-05-01,3154674.532928467,2675280.8276367188,5829424.535522461
2003-06-01,3002986.7166137695,2334823.516845703,7607701.78527832
2003-07-01,1736077.6809310913,1516989.8638916016,8401618.13873291
2003-08-01,2145041.856765747,964045.5853271484,7242212.232971191
2003-09-01,1587987.636795044,470352.71392822266,5617375.131225586
2003-10-01,914336.3182640076,214387.02438354492,3950323.136444092
2003-11-01,1235446.3534927368,278963.01177978516,1590721.5454101562
2003-12-01,886292.0523262024,423914.49645996094,1170911.240386963
2004-01-01,1357094.861869812,474151.0528564453,1039745.8771133423
2004-02-01,1672932.4533462524,683029.951171875,1397717.3851776123
2004-03-01,2813093.9806365967,1913729.1174316406,3509140.516204834
2004-04-01,2657582.7923583984,2094175.3601074219,4591837.463378906
2004-05-01,2170567.2958374023,1913387.8930664062,6248337.709350586
2004-06-01,2962658.091659546,1614887.9187011719,7468997.755737305
2004-07-01,2304264.495162964,1031127.5500488281,8187131.532897949
2004-08-01,1705710.8025741577,516911.62994384766,7350635.5252075195
2004-09-01,1538385.8889770508,268459.95025634766,5602775.907897949
