,modis_aet,gldas_et,nldas_pet,terraclimate_pet,gridmet_pet
2001-01-01,1773669.6060562134,1653691.3462560093,651698.616027832,1177348.675918579,2250161.2380981445
2001-02-01,1534296.8782424927,2365954.530985121,715877.3254394531,1398414.8776245117,2490544.1340637207
2001-03-01,2761054.5375823975,5119058.385904772,1495255.7208251953,3083506.3174438477,4683355.668182373
2001-04-01,2159399.9308776855,6887350.908586595,1886299.3103027344,3933848.040161133,5444924.1091918945
2001-05-01,2787219.663848877,9190107.47869646,3482862.3413085938,7141111.660766602,10873302.626953125
2001-06-01,1383062.6029586792,6051687.439946112,3850265.5444335938,7921443.218994141,10852842.068481445
2001-07-01,2458547.5870513916,3980227.7233145796,4123543.4912109375,8014345.878295898,10838065.583496094
2001-08-01,1553100.333480835,1958962.7429090657,3978897.978515625,7654779.088439941,10712161.834716797
2001-09-01,1584284.6159362793,1286875.9463913739,3030177.139892578,5605634.91027832,8187268.428039551
2001-10-01,987384.2290878296,1081466.6516605765,2209349.5092773438,3658641.418762207,6333132.549133301
2001-11-01,1144682.6546859741,1450708.0661460757,918287.9022216797,1938802.8913879395,2446184.404220581
2001-12-01,1001305.8548355103,1173467.2851370913,446496.5643310547,1094962.2253417969,1666679.7745513916
2002-01-01,1215105.4948425293,1641678.719591988,551684.4378662109,1037816.986541748,2081350.6615447998
2002-02-01,1835500.3373336792,2771127.626114871,756376.6607666016,1675865.78956604,3069047.206878662
2002-03-01,2238477.1627807617,5107207.041939242,1287992.8289794922,2786459.070739746,4595385.914154053
2002-04-01,2234758.219985962,6523791.454278198,1854116.6418457031,4117847.3959350586,5680838.314819336
2002-05-01,2879667.809829712,7603725.919912276,2881156.9702148438,6112566.979980469,8674818.134765625
2002-06-01,2840180.4718780518,6803228.0921649095,3756781.2744140625,7735216.09954834,10739434.389038086
2002-07-01,1999170.6983184814,4174280.8784981174,4196865.827636719,8347297.678527832,11507845.539550781
2002-08-01,1507960.5911636353,1900857.1134856064,3916469.0478515625,7494239.698791504,10370413.059082031
2002-09-01,1434288.6223983765,892521.8443422508,3095872.635498047,5641977.060241699,8504758.682556152
2002-10-01,950221.6694068909,439626.48789321625,2115488.7158203125,3449586.449432373,5895468.83605957
2002-11-01,1134389.8254776,1988133.8962162181,1066866.1798095703,1956738.4950256348,3375642.8897094727
2002-12-01,950189.4157791138,1682059.8144577018,535129.5465087891,1248084.1213989258,1624576.474456787
2003-01-01,1267536.547279358,2226659.122151562,636232.6263427734,1363077.9416656494,2204493.691635132
2003-02-01,1840547.3569107056,3021227.0798334056,857955.8111572266,1428189.5709228516,2770454.0396118164
2003-03-01,2682206.768875122,5822678.769097797,1364077.177734375,3147689.078063965,4606771.319274902
2003-04-01,2062347.3014831543,6260047.647807854,1536551.9934082031,3349984.7035217285,4342279.667816162
2003-05-01,3154674.532928467,9631012.061029673,2694350.5444335938,5829424.535522461,8104033.2568359375
2003-06-01,3002986.7166137695,8405364.894338606,3658299.4775390625,7607701.78527832,10354163.488769531
2003-07-01,1736077.6809310913,5461163.724999033,4227480.769042969,8401618.13873291,11761699.443969727
2003-08-01,2145041.856765747,3470563.9332986306,3681603.5888671875,7242212.232971191,9535230.425720215
2003-09-01,1587987.636795044,1693269.8460429325,3169468.5864257812,5617375.131225586,8763433.168029785
2003-10-01,914336.3182640076,771793.2888200806,2347211.25,3950323.136444092,6856911.496582031
2003-11-01,1235446.3534927368,1004266.8365270965,889715.1708984375,1590721.5454101562,2564888.4338378906
2003-12-01,886292.0523262024,1526092.1282708645,538483.4252929688,1170911.240386963,1780108.6610412598
2004-01-01,1357094.861869812,1706943.820006294,595117.7517700195,1039745.8771133423,1908862.783126831
2004-02-01,1672932.4533462524,2458907.9441214246,685018.6056518555,1397717.3851776123,2472394.7048950195
2004-03-01,2813093.9806365967,6889424.703824413,1590388.681640625,3509140.516204834,5570726.649169922
2004-04-01,2657582.7923583984,7539031.47582449,2337878.660888672,4591837.463378906,7202935.612792969
2004-05-01,2170567.2958374023,6888196.642103153,3167167.6098632812,6248337.709350586,8982125.496826172
2004-06-01,2962658.091659546,5813597.121805518,3873559.1967773438,7468997.755737305,10495809.008789062
2004-07-01,2304264.495162964,3712059.5048378003,4182027.890625,8187131.532897949,11015989.486083984
2004-08-01,1705710.8025741577,1860881.9557411196,3885936.6577148438,7350635.5252075195,10256561.932983398
2004-09-01,1538385.8889770508,966455.7691456084,3094899.7631835938,5602775.907897949,8430293.575744629
2004-10-01,1555500.5653381348,1499240.7468486044,1791101.6345214844,3369841.8118286133,4891746.637573242
2004-11-01,1050043.720550537,2269192.594703819,854948.3862304688,1515302.9990386963,2506209.267425537
2004-12-01,1035479.8320007324,1750579.6185707406,615120.2325439453,1077115.3987884521,2237249.3643951416
2005-01-01,1222179.8685836792,1816447.5325300226,491930.15899658203,866708.5899353027,1644907.011795044
2005-02-01,2137001.279067993,2895818.5725998664,755420.0839233398,1367540.196762085,2404775.5252075195
2005-03-01,2818420.336532593,5952746.453913408,1330501.7834472656,2845218.092651367,4312032.276763916
2005-04-01,2516489.1513061523,8114344.564192209,1803164.9523925781,3998692.460632324,5470732.353515625
2005-05-01,3595924.999923706,9870035.662343247,2431528.2202148438,5710944.130554199,7248463.192749023
2005-06-01,3468158.9559173584,9279839.236486437,3099542.0581054688,7026238.501281738,8874733.013305664
2005-07-01,2008675.157546997,8046262.507414731,4062053.6279296875,8521433.563842773,11460941.987915039
2005-08-01,1782388.5050582886,4098343.6631905218,3850558.3959960938,7539063.497314453,10812539.904785156
2005-09-01,1895432.846031189,1916965.9171220316,2788604.110107422,5320595.239562988,7663355.510559082
