,trmm_p,prism_p,chirps_p,persiann_p
2001-01-01,1298983.6340332031,4943600.867614746,2870980.7121276855,1256889.116821289
2001-02-01,1701509.2272949219,6301807.55859375,3290671.8772888184,1536677.1276855469
2001-03-01,735350.5068969727,3016582.830505371,2122978.800201416,771031.4721679688
2001-04-01,832012.4871826172,3311149.743347168,1620348.1842041016,720843.4753417969
2001-05-01,33313.2893371582,237569.43620681763,281188.4413719177,44651.085205078125
2001-06-01,88373.07758331299,584113.4338760376,237289.23711776733,125728.39668273926
2001-07-01,55096.74488067627,411856.7850494385,111607.92903900146,61623.22116851807
2001-08-01,8773.93518447876,84768.83759021759,83427.61223316193,11584.198479652405
2001-09-01,117387.75352478027,654476.4531326294,403068.945980072,108398.408203125
2001-10-01,257572.91793823242,1104932.3146820068,859210.0896835327,235784.77569580078
2001-11-01,1586967.8466796875,6389896.354980469,3779193.2739257812,1419479.4451904297
2001-12-01,2217998.9025878906,9161955.917358398,4827352.6290893555,2055580.0268554688
2002-01-01,893423.9080810547,3638943.9266967773,2174755.1055908203,823192.7618408203
2002-02-01,587074.6527099609,2246076.546020508,1255589.1883850098,510216.66595458984
2002-03-01,878117.7447509766,3756843.385620117,1963416.7350769043,763566.6989135742
2002-04-01,382874.93591308594,1355610.9931182861,899508.9248657227,342008.6489868164
2002-05-01,317986.8598937988,1282944.8776245117,602064.8626327515,260227.4688720703
2002-06-01,34326.76609039307,186422.05141067505,149183.76460075378,36057.52372741699
2002-07-01,10730.605716705322,250449.63821411133,73614.28234577179,10784.45825099945
2002-08-01,3875.0062894821167,56554.139285087585,80058.80169868469,6143.0081605911255
2002-09-01,9245.53207397461,194894.14237976074,183538.8138771057,10580.098042488098
2002-10-01,15400.534944534302,122086.41783714294,255801.73387527466,20480.17825126648
2002-11-01,1247295.6134033203,5050409.592590332,2609342.646789551,1083407.34375
2002-12-01,2895380.6286621094,12103113.647460938,6260361.35559082,2816945.5297851562
2003-01-01,761033.9904785156,3053071.6410827637,1776982.0392608643,682761.005859375
2003-02-01,773779.4302368164,2766516.5698242188,1993441.0789489746,711687.7084350586
2003-03-01,891864.3054199219,3768910.5541992188,2141520.4055786133,861313.5186767578
2003-04-01,1628697.1398925781,6458697.5537109375,2794090.1069641113,1544168.3752441406
2003-05-01,500813.01177978516,1956900.6628417969,896583.162689209,427590.3625488281
2003-06-01,20563.653144836426,141136.847448349,136360.81895828247,16456.167182922363
2003-07-01,59039.40845489502,355027.9379081726,115712.56370544434,62867.72357940674
2003-08-01,206075.3302001953,846425.4469299316,250127.8678894043,194600.0383758545
2003-09-01,36601.84907913208,266061.5421295166,243263.34228515625,50045.633239746094
2003-10-01,19682.569799423218,103308.78398895264,278821.0644721985,23201.272430419922
2003-11-01,784188.1274414062,3243498.494567871,2078647.7027893066,741123.4927368164
2003-12-01,2367112.6428222656,9776048.186645508,4723361.952209473,2098570.5615234375
2004-01-01,874447.6684570312,3668340.3442382812,1981197.7912902832,809751.2860107422
2004-02-01,2240244.9755859375,8438971.278076172,4483242.979431152,2031707.021484375
2004-03-01,336413.20907592773,1502323.1275177002,1015667.5369262695,323354.1865539551
2004-04-01,218574.49356079102,835552.5203704834,613729.4900894165,229685.69366455078
2004-05-01,215632.1337890625,924079.7625732422,517374.47776794434,180435.08331298828
2004-06-01,41161.23670578003,330651.5468788147,185428.82537841797,46580.0119972229
2004-07-01,17352.356815338135,189572.17638015747,79450.38764476776,26194.841537475586
2004-08-01,25998.866901397705,324345.4978752136,121653.43608856201,37125.67377090454
2004-09-01,41069.761447906494,236421.79218292236,234402.10905075073,53746.0884475708
2004-10-01,1336806.3098144531,5403795.641784668,2583064.2150878906,1341819.5251464844
2004-11-01,606895.5020141602,2281405.5436706543,1454905.6457519531,534519.6569824219
2004-12-01,1820505.9484863281,6921901.631469727,3814786.4639282227,1894424.8205566406
2005-01-01,1937489.8754882812,7842069.080200195,3708126.9470214844,1766679.5324707031
2005-02-01,1191311.5649414062,4131780.7681274414,2649090.4403686523,1126684.2864990234
2005-03-01,1509440.8117675781,6253308.748168945,3156508.918762207,1333771.7102050781
2005-04-01,686240.9994506836,2662221.442565918,1466492.4728393555,641306.1209106445
2005-05-01,1225164.8693847656,5028887.117614746,1838715.6211853027,1024063.06640625
2005-06-01,293328.5202026367,1414842.7306365967,302264.2527580261,279587.3291015625
2005-07-01,9431.376028060913,204800.15481948853,59265.44237136841,14385.241584777832
2005-08-01,26849.67493057251,233749.99872207642,106410.7765674591,34800.344467163086
2005-09-01,87141.72477722168,408460.1770019531,305862.28036880493,87479.30717468262
2005-10-01,235553.90762329102,877281.5849304199,615985.8072280884,240626.21154785156
2005-11-01,802760.6689453125,3036975.0814819336,1869705.0727844238,833429.0258789062
2005-12-01,3309699.6606445312,12649499.143066406,7105036.239624023,3019394.8608398438
2006-01-01,1833377.9699707031,7831796.242675781,3665026.6067504883,1738847.0544433594
2006-02-01,1130346.3317871094,3933576.9580078125,2028006.1546325684,952454.0423583984
2006-03-01,2289918.8012695312,8923408.516845703,4695324.870300293,2115645.7873535156
2006-04-01,2075543.4265136719,8269496.856079102,3648148.503112793,1840038.662109375
2006-05-01,330068.66775512695,1297003.08883667,633460.6109619141,319186.1878967285
2006-06-01,59033.25096130371,356029.7605705261,195161.61432266235,64635.67714691162
2006-07-01,25249.065113067627,395118.40141296387,82059.96608734131,31760.661277770996
2006-08-01,12576.674823760986,135360.20281791687,85732.50138759613,26968.05347442627
2006-09-01,2949.6708834171295,118224.67457771301,171768.75414848328,15787.638473510742
2006-10-01,133852.89138793945,483275.32539367676,414041.00646972656,134202.01835632324
2006-11-01,718525.7830810547,2786571.653137207,1938422.9141235352,729092.2055053711
2006-12-01,1253345.6689453125,4910313.688659668,2804256.5185546875,1158732.2955322266
2007-01-01,291337.2509765625,989170.5644989014,643134.091758728,296873.6723327637
2007-02-01,1959045.8422851562,7282044.915161133,3657876.2100219727,1602926.3891601562
2007-03-01,261163.64135742188,1159676.8547058105,971741.7251586914,235807.3045349121
2007-04-01,569833.5305786133,2029502.2123718262,1284018.9971923828,516367.57598876953
2007-05-01,170636.50909423828,692080.2822875977,414802.61993408203,157892.44674682617
2007-06-01,76762.99209594727,480783.37142944336,206027.25806236267,82729.63256835938
2007-07-01,62881.48017883301,553416.9299697876,94033.7462425232,56733.56426239014
2007-08-01,24404.054174423218,225432.0167541504,90304.4903755188,29030.361499786377
2007-09-01,149969.0657043457,588217.345161438,400431.87532424927,141997.7904510498
2007-10-01,526253.9309692383,2091222.342224121,1054667.3400878906,567266.5502929688
2007-11-01,216798.7774658203,748474.5877075195,756045.948600769,215331.2045288086
2007-12-01,1223006.1163330078,4755679.7579956055,2373659.04006958,1162491.6467285156
2008-01-01,2239168.0737304688,9561898.135986328,5008456.988525391,2250965.994873047
2008-02-01,929483.96484375,5210865.236206055,2188331.536102295,776993.2333374023
2008-03-01,435105.5630493164,795377.148513794,812608.9988708496,377426.6455078125
2008-04-01,291330.6674194336,400422.0341491699,452627.22244262695,224836.9271850586
2008-05-01,261052.7947998047,970500.8640289307,509001.3593673706,266677.86071777344
2008-06-01,64213.185539245605,88778.24010372162,142605.69548606873,52135.69667816162
