,storage_km3
1998-01-31,1.36361707392
1998-02-28,1.45403979228
1998-03-31,1.6310059344
1998-04-30,1.84140431844
1998-05-31,1.84495427388
1998-06-30,2.29166892372
1998-07-31,2.19755439972
1998-08-31,1.8543065192400001
1998-09-30,1.57525140492
1998-10-31,1.4050755702
1998-11-30,1.30158413124
1998-12-31,1.30902694956
1999-01-31,1.3435804248
1999-02-28,1.2959495946
1999-03-31,1.55111836872
1999-04-30,1.81286529168
1999-05-31,2.0803133592
1999-06-30,2.12894207472
1999-07-31,1.78675005312
1999-08-31,1.64336170356
1999-09-30,1.5556156368
1999-10-31,1.4338649934
1999-11-30,1.37584579464
1999-12-31,1.35147593028
2000-01-31,1.40820367548
2000-02-29,1.50663784644
2000-03-31,1.64799218748
2000-04-30,1.7655601002
2000-05-31,2.03425028208
2000-06-30,1.95436518336
2000-07-31,1.61410355796
2000-08-31,1.54251484572
2000-09-30,1.47516313728
2000-10-31,1.36967962812
2000-11-30,1.356334608
2000-12-31,1.31538183852
2001-01-31,1.26727488504
2001-02-28,1.3605777792
2001-03-31,1.51198374876
2001-04-30,1.69003288632
2001-05-31,1.73820028032
2001-06-30,1.49301282636
2001-07-31,1.20932599464
2001-08-31,1.09249693644
2001-09-30,0.94318418244
2001-10-31,0.82943882424
2001-11-30,0.79246896168
2001-12-31,0.97797448584
2002-01-31,1.20975154524
2002-02-28,1.35758782368
2002-03-31,1.65097104168
2002-04-30,1.80908220852
2002-05-31,1.9093110928800001
2002-06-30,1.77554882124
2002-07-31,1.45314305232
2002-08-31,1.3010685366
2002-09-30,1.18738115196
2002-10-31,1.11467860728
2002-11-30,1.09147191456
2002-12-31,1.28531576352
2003-01-31,1.39042059432
2003-02-28,1.38090182916
2003-03-31,1.60814214912
2003-04-30,1.99777627848
2003-05-31,2.25663192432
2003-06-30,2.15809784148
2003-07-31,1.7798067942
2003-08-31,1.5759273519600001
2003-09-30,1.4419319526
2003-10-31,1.28460897948
2003-11-30,1.21896317388
2003-12-31,1.27641620532
2004-01-31,1.37230694052
2004-02-29,1.52272982652
2004-03-31,1.82052026856
2004-04-30,1.77297824892
2004-05-31,1.72598019396
2004-06-30,1.52353652244
2004-07-31,1.19808282444
2004-08-31,1.10247332268
2004-09-30,1.02276214464
2004-10-31,0.97254840732
2004-11-30,0.95831404812
2004-12-31,1.09888019544
2005-01-31,1.42761865068
2005-02-28,1.539968943
2005-03-31,1.78159410672
2005-04-30,2.02216957896
2005-05-31,2.32625570292
2005-06-30,2.29394469432
2005-07-31,2.02820869704
2005-08-31,1.685057028
2005-09-30,1.48891273884
2005-10-31,1.35063346344
2005-11-30,1.28954043252
2005-12-31,1.58542021404
2006-01-31,1.15343084844
2006-02-28,1.25682607596
2006-03-31,1.77786282972
2006-04-30,2.0066314314
2006-05-31,2.30157130116
2006-06-30,2.25122928192
2006-07-31,1.96947037944
2006-08-31,1.71675376356
2006-09-30,1.485294942
2006-10-31,1.31360932776
2006-11-30,1.2804077466
2006-12-31,1.2910280094
2007-01-31,1.26568739628
2007-02-28,1.44247838424
