year,month,equivalent water thickness change(cm)
2002,5,1.480723651
2002,8,5.705435371
2002,11,5.732656851
2003,2,12.06701096
2003,5,8.244869731
2003,8,7.70149428
2003,11,6.440281927
2004,2,11.05197475
2004,5,6.198263172
2004,8,7.521169715
2004,11,4.849680221
2005,2,9.370323993
2005,5,12.81401164
2005,8,10.16491684
2005,11,9.619980993
2006,2,15.79090117
2006,5,15.04775389
2006,8,13.84905597
2006,11,18.10476014
2007,2,8.213071666
2007,5,5.798394006
2007,8,6.300921558
2007,11,6.960745833
2008,2,5.960342118
2008,5,2.277441927
2008,8,2.42889418
2008,11,1.857830069
2009,2,0.182815881
2009,5,-2.691967957
2009,8,-1.69455995
2009,11,1.577832914
2010,2,-0.434731187
2010,5,4.237769277
2010,8,1.877937638
2010,11,2.659656504
2011,2,0.230258945
2011,5,11.38036927
2011,8,7.80265538
2011,11,7.253419864
2012,2,1.014955948
2012,5,5.485761848
2012,8,-1.266270301
2012,11,-0.511022581
2013,2,-6.626406194
2013,5,-6.887240294
2013,8,-4.590323278
2013,11,-6.706752032
2014,2,-15.0835759
2014,5,-15.31582829
2014,8,-14.95072646
2014,11,-16.90742124
2015,2,-16.68497534
2015,5,-20.97548169
2015,8,-20.07012417
2015,11,-22.58993374
2016,2,-18.14381024
2016,5,-13.55704473
2016,8,-11.57491827
2016,11,-15.93591728
2017,2,-7.202595758
2017,5,-5.575321127
